 ;Region;Anteil in Prozent der Beschäftigten mit Mindestlohn-anspruch;Beschäftigte mit Stundenlöhnen unter 12 Euro;Beschäftigte mit Mindestlohn-anspruch;;
;Deutschland;17,8;6.644.549;37.304.033;;
;Westdeutschland (mit Berlin);16,1;5.182.230;32.275.373;;
;Ostdeutschland (ohne Berlin);29,1;1.462.319;5.028.660;;
1;Schleswig-Holstein;18,2;209.535;1.149.567;;
1001;Flensburg, Stadt;20,2;9.931;49.119;;
1002;Kiel, Landeshauptstadt;14,0;19.920;141.884;;
1003;Lübeck, Hansestadt;18,1;20.107;110.881;;
1004;Neumünster, Stadt;17,2;7.914;46.098;;
1051;Dithmarschen;21,2;10.523;49.721;;
1053;Herzogtum Lauenburg;17,8;10.182;57.084;;
1054;Nordfriesland;21,4;15.175;71.019;;
1055;Ostholstein;22,0;15.954;72.658;;
1056;Pinneberg;17,8;19.023;106.705;;
1057;Plön;15,6;5.325;34.093;;
1058;Rendsburg-Eckernförde;15,9;14.849;93.216;;
1059;Schleswig-Flensburg;24,6;16.745;67.985;;
1060;Segeberg;18,0;18.796;104.402;;
1061;Steinburg;18,1;8.188;45.123;;
1062;Stormarn;17,0;16.902;99.578;;
2;Hamburg, Freie und Hansestadt;14,7;160.211;1.086.544;;
3;Niedersachsen;18,1;619.900;3.426.322;;
3101;Braunschweig, Stadt;15,5;22.306;144.080;;
3102;Salzgitter, Stadt;11,4;5.829;50.950;;
3103;Wolfsburg, Stadt;7,9;9.726;122.859;;
3151;Gifhorn;16,4;8.155;49.854;;
3153;Goslar;22,8;11.523;50.528;;
3154;Helmstedt;20,5;5.382;26.266;;
3155;Northeim;20,5;10.439;50.846;;
3157;Peine;19,7;7.539;38.297;;
3158;Wolfenbüttel;16,5;5.011;30.356;;
3159;Göttingen;15,7;23.291;148.289;;
3241;Region Hannover;15,9;91.656;577.640;;
3251;Diepholz;19,5;16.495;84.553;;
3252;Hameln-Pyrmont;17,2;10.010;58.167;;
3254;Hildesheim;18,1;19.053;105.123;;
3255;Holzminden;15,0;3.884;25.865;;
3256;Nienburg (Weser);20,1;9.261;46.177;;
3257;Schaumburg;17,1;9.200;53.718;;
3351;Celle;17,8;11.390;63.988;;
3352;Cuxhaven;20,8;12.547;60.217;;
3353;Harburg;19,4;15.724;81.042;;
3354;Lüchow-Dannenberg;20,0;3.259;16.265;;
3355;Lüneburg;18,4;12.502;67.791;;
3356;Osterholz;16,9;5.464;32.350;;
3357;Rotenburg (Wümme);17,1;11.393;66.466;;
3358;Heidekreis;19,8;10.991;55.580;;
3359;Stade;17,4;13.100;75.322;;
3360;Uelzen;21,1;7.282;34.539;;
3361;Verden;20,6;11.750;57.096;;
3401;Delmenhorst, Stadt;25,6;6.322;24.660;;
3402;Emden, Stadt;14,1;5.002;35.497;;
3403;Oldenburg (Oldenburg), Stadt;17,4;16.754;96.036;;
3404;Osnabrück, Stadt;17,2;19.204;111.329;;
3405;Wilhelmshaven, Stadt;20,3;6.968;34.333;;
3451;Ammerland;19,9;10.227;51.456;;
3452;Aurich;22,0;15.691;71.273;;
3453;Cloppenburg;26,0;20.962;80.681;;
3454;Emsland;18,0;29.613;164.652;;
3455;Friesland;19,5;6.699;34.379;;
3456;Grafschaft Bentheim;20,8;12.731;61.322;;
3457;Leer;21,5;12.299;57.281;;
3458;Oldenburg;25,1;11.336;45.245;;
3459;Osnabrück;22,3;32.787;146.880;;
3460;Vechta;22,9;19.144;83.726;;
3461;Wesermarsch;15,8;5.382;34.165;;
3462;Wittmund;24,1;4.615;19.185;;
4;Bremen;16,5;60.463;366.721;;
4011;Bremen, Stadt;15,8;48.844;309.414;;
4012;Bremerhaven, Stadt;20,3;11.620;57.307;;
5;Nordrhein-Westfalen;16,8;1.309.481;7.788.792;;
5111;Düsseldorf, Stadt;15,1;70.232;466.313;;
5112;Duisburg, Stadt;17,3;33.615;193.778;;
5113;Essen, Stadt;15,2;43.247;284.497;;
5114;Krefeld, Stadt;18,1;18.854;103.943;;
5116;Mönchengladbach, Stadt;22,3;25.571;114.597;;
5117;Mülheim an der Ruhr, Stadt;16,2;10.741;66.222;;
5119;Oberhausen, Stadt;18,4;14.244;77.354;;
5120;Remscheid, Stadt;16,4;8.424;51.261;;
5122;Solingen, Klingenstadt;21,2;12.595;59.434;;
5124;Wuppertal, Stadt;18,0;25.858;143.837;;
5154;Kleve;21,5;26.054;121.268;;
5158;Mettmann;16,2;35.052;216.974;;
5162;Rhein-Kreis Neuss;16,0;28.148;175.798;;
5166;Viersen;21,9;24.239;110.749;;
5170;Wesel;18,6;30.685;164.654;;
5314;Bonn, Stadt;10,8;21.935;202.713;;
5315;Köln, Stadt;14,5;94.428;652.672;;
5316;Leverkusen, Stadt;15,2;10.692;70.462;;
5334;Städteregion Aachen;15,6;39.006;249.759;;
5358;Düren;15,8;16.017;101.581;;
5362;Rhein-Erft-Kreis;18,4;30.621;166.043;;
5366;Euskirchen;16,9;11.124;65.721;;
5370;Heinsberg;19,5;17.099;87.865;;
5374;Oberbergischer Kreis;15,5;18.319;118.500;;
5378;Rheinisch-Bergischer Kreis;15,2;13.366;87.697;;
5382;Rhein-Sieg-Kreis;16,5;32.280;195.611;;
5512;Bottrop, Stadt;17,3;6.579;37.941;;
5513;Gelsenkirchen, Stadt;18,7;17.473;93.400;;
5515;Münster, Stadt;13,9;27.830;199.571;;
5554;Borken;16,9;29.969;176.953;;
5558;Coesfeld;17,3;14.435;83.414;;
5562;Recklinghausen;20,4;41.247;202.396;;
5566;Steinfurt;17,1;32.373;189.415;;
5570;Warendorf;17,0;18.639;109.408;;
5711;Bielefeld, Stadt;19,5;35.270;180.512;;
