© Der Bundeswahlleiter, Wiesbaden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2021 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg, Stadt;69302;51278;470;50808;7941;10484;2681;3252;2855;18075;0;454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1022;0;0;0;0;0;23;3921;0;0;0;0;0;0;0;0;0;0;0;460;50818;7152;12480;2756;4780;3153;12296;0;347;738;637;28;0;40;93;0;0;0;2;0;0;17;0;0;61;0;45;0;842;0;0;0;0;0;14;0;0;5025;125;0;187
SH;01002;Kiel, Landeshauptstadt;184655;140793;1058;139735;24119;41407;6562;10303;6913;40123;0;1013;2766;0;0;0;0;0;0;0;0;71;0;0;107;0;0;0;0;192;1842;0;0;0;0;0;0;3694;0;0;623;0;0;0;0;0;0;0;0;832;139961;20333;36407;7023;14335;8978;40476;0;852;2068;1541;115;0;107;164;0;0;0;34;0;0;85;0;0;287;0;109;0;1755;0;0;0;0;0;46;0;0;4013;710;0;523
SH;01003;Lübeck, Hansestadt;164139;118804;1448;117356;24960;40376;7551;8341;3709;25882;0;1563;2000;0;0;0;0;0;0;0;0;180;0;0;75;0;0;0;0;277;1429;0;0;0;0;0;85;0;0;0;714;0;0;0;0;0;0;0;214;1130;117674;20757;36136;7807;11963;5360;27112;0;1123;1219;1341;143;0;127;114;0;0;0;69;0;0;42;0;0;182;0;97;0;1366;0;0;0;0;0;63;0;0;1506;623;0;524
SH;01004;Neumünster, Stadt;59460;40376;567;39809;10056;13946;3707;3744;1147;5230;0;559;705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;405;39971;8089;12872;3751;4762;1320;5841;0;352;377;462;130;0;27;35;0;0;0;8;0;0;12;0;0;50;0;20;0;450;0;0;0;0;0;50;0;0;1048;254;0;61
SH;01051;Dithmarschen;107187;81464;939;80525;23987;23904;6628;10870;2454;8756;0;1195;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;955;0;0;0;0;0;210;1441;0;0;0;0;0;0;0;0;0;0;0;848;80616;20545;22529;7098;11464;2545;9686;0;835;739;1021;115;0;46;85;0;0;0;20;0;0;14;0;0;68;0;34;0;803;0;0;0;0;0;69;0;0;2613;137;0;150
SH;01053;Herzogtum Lauenburg;153609;121250;1043;120207;31299;37331;9676;12248;3241;20306;0;2572;1813;0;0;0;0;0;0;0;0;9;0;0;76;0;0;0;0;21;1554;0;0;0;0;0;4;0;0;0;51;0;0;0;0;0;0;0;6;875;120375;27610;35174;10057;16216;3978;19001;0;1675;1155;1539;182;0;122;88;0;0;0;24;0;0;50;0;0;96;0;69;0;1415;0;0;0;0;0;40;0;0;1197;466;0;221
SH;01054;Nordfriesland;133281;103619;849;102770;31077;27786;5076;9475;2867;15717;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1720;0;0;0;0;0;113;7969;0;0;0;0;0;0;0;0;0;0;0;801;102818;24671;26384;5381;12690;3106;17458;0;729;944;1092;96;0;92;90;0;0;0;18;0;0;24;0;0;93;0;43;0;1426;0;0;0;0;0;33;0;0;8159;152;0;137
SH;01055;Ostholstein;167155;130019;1210;128809;39501;43516;8658;11905;3699;16969;0;2318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;358;1053;128966;32646;38781;9066;16243;3645;20000;0;1441;984;1573;180;0;88;105;0;0;0;11;0;0;28;0;0;78;0;59;0;1575;0;0;0;0;0;28;0;0;2029;162;0;244
SH;01056;Pinneberg;238388;191512;1443;190069;49710;59298;12141;20737;5659;32109;0;2380;2352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2895;0;0;0;0;0;166;2622;0;0;0;0;0;0;0;0;0;0;0;1242;190270;42057;55693;13080;25663;6363;34291;0;1731;1805;2320;188;0;202;208;0;0;0;21;0;0;59;0;0;182;0;127;0;2389;0;0;0;0;0;108;0;0;2527;799;0;457
