"kreis","name","land","afd_prozent","lohn_prozent","linke_prozent"
"01001","Flensburg, Stadt","SH",0.0537462459534303,0.202,0.0614883575802488
"01002","Kiel, Landeshauptstadt","SH",0.0498817412797511,0.14,0.063767374798463
"01003","Lübeck, Hansestadt","SH",0.0657132756472846,0.181,0.045116326049628
"01004","Neumünster, Stadt","SH",0.0929017237963146,0.172,0.0326926887259758
"01051","Dithmarschen","SH",0.0871305116370421,0.212,0.0312407934793283
"01053","Herzogtum Lauenburg","SH",0.0829443298969072,0.178,0.0328082474226804
"01054","Nordfriesland","SH",0.0519306304828265,0.214,0.029975197598896
"01055","Ostholstein","SH",0.0697282704835447,0.22,0.028034364208308
"01056","Pinneberg","SH",0.0682985922553156,0.178,0.0332250720581478
"01057","Plön","SH",0.0626840653264577,0.156,0.0316155842946442
"01058","Rendsburg-Eckernförde","SH",0.0631583104376231,0.159,0.0316778841542879
"01059","Schleswig-Flensburg","SH",0.0586879239952187,0.246,0.0335470450346958
"01060","Segeberg","SH",0.0757049303903324,0.18,0.0313714635697628
"01061","Steinburg","SH",0.0791400722378903,0.181,0.0353272970164762
"01062","Stormarn","SH",0.0657628831256315,0.17,0.0320879861129103
"02000","Hamburg, Freie und Hansestadt","HH",0.0499849660351083,0.147,0.0668398210166917
"03101","Braunschweig, Stadt","NI",0.0585056140674824,0.155,0.0451326993686393
"03102","Salzgitter, Stadt","NI",0.133406649183656,0.114,0.0342399120209796
"03103","Wolfsburg, Stadt","NI",0.0920738782877772,0.079,0.0271563950489943
"03151","Gifhorn","NI",0.103750339528928,0.164,0.0236991191649529
"03153","Goslar","NI",0.091584682111499,0.228,0.0317491801544483
"03154","Helmstedt","NI",0.0908970023935261,0.205,0.0285323505945823
"03155","Northeim","NI",0.0796347285725112,0.205,0.0286583979589259
"03157","Peine","NI",0.0892702134886588,0.197,0.025324258702462
"03158","Wolfenbüttel","NI",0.0738692659936267,0.165,0.0294700479340171
"03159","Göttingen","NI",0.062862669245648,0.157,0.0467762733720181
"03241","Region Hannover","NI",0.0661612472528959,0.159,0.038347265786002
"03251","Diepholz","NI",0.0697060951980764,0.195,0.0269782353261588
"03252","Hameln-Pyrmont","NI",0.087950289493447,0.172,0.0291673732406308
"03254","Hildesheim","NI",0.0752141509725701,0.181,0.0328292667841791
"03255","Holzminden","NI",0.089460051803148,0.15,0.0246812113966926
"03256","Nienburg (Weser)","NI",0.0854908978891317,0.201,0.0261548165642282
"03257","Schaumburg","NI",0.0860819818175964,0.171,0.0269623364496013
"03351","Celle","NI",0.0946812044473103,0.178,0.0290071711901831
"03352","Cuxhaven","NI",0.0759848720950801,0.208,0.0268781428727858
"03353","Harburg","NI",0.0722058960002475,0.194,0.0289664985925078
"03354","Lüchow-Dannenberg","NI",0.070200623227478,0.2,0.0555652813276846
"03355","Lüneburg","NI",0.0645441232304605,0.184,0.0428576594167525
"03356","Osterholz","NI",0.0720354057861707,0.169,0.0390915171265529
"03357","Rotenburg (Wümme)","NI",0.0700768715899641,0.171,0.0271890148672495
"03358","Heidekreis","NI",0.0843821796024373,0.198,0.0266831485366097
"03359","Stade","NI",0.0769928063536945,0.174,0.0291072393862531
"03360","Uelzen","NI",0.0850039520011497,0.211,0.0307357907595028
"03361","Verden","NI",0.0773350444858521,0.206,0.0309241457605785
"03401","Delmenhorst, Stadt","NI",0.100746165154919,0.256,0.035810379739813
"03402","Emden, Stadt","NI",0.0800692831555328,0.141,0.0475534385702476
"03403","Oldenburg (Oldenburg), Stadt","NI",0.0426862286338976,0.174,0.0618837929237717
"03404","Osnabrück, Stadt","NI",0.0442107100772487,0.172,0.050986339632523
"03405","Wilhelmshaven, Stadt","NI",0.091694016662459,0.203,0.0371875788942186
"03451","Ammerland","NI",0.0622956439194178,0.199,0.0301524100833245
"03452","Aurich","NI",0.0812760129486678,0.22,0.0307975525594963
"03453","Cloppenburg","NI",0.0947392471582795,0.26,0.021671331467413
"03454","Emsland","NI",0.0604982014485485,0.18,0.0215610455866729
"03455","Friesland","NI",0.0733333333333333,0.195,0.0293431855500821
"03456","Grafschaft Bentheim","NI",0.051300877040755,0.208,0.0227603422728304
"03457","Leer","NI",0.0877008466016182,0.215,0.0303651945725859
"03458","Oldenburg","NI",0.07059169253964,0.251,0.0298721044629282
"03459","Osnabrück","NI",0.0616041883219057,0.223,0.0258480112146324
"03460","Vechta","NI",0.0581899911656187,0.229,0.0214623499454347
"03461","Wesermarsch","NI",0.0774754728431273,0.158,0.0286639020936583
"03462","Wittmund","NI",0.0847744696024247,0.241,0.0256135971949843
"04011","Bremen, Stadt","HB",0.0617324487049998,0.158,0.0807264992344563
"04012","Bremerhaven, Stadt","HB",0.105059914805526,0.203,0.0544010509972531
"05111","Düsseldorf, Stadt","NW",0.0504037530285415,0.151,0.0430753913868121
"05112","Duisburg, Stadt","NW",0.0997331046976339,0.173,0.0465015511272754
"05113","Essen, Stadt","NW",0.0804168493073934,0.152,0.0396514390990676
"05114","Krefeld, Stadt","NW",0.0676763971140576,0.181,0.0401795852768024
"05116","Mönchengladbach, Stadt","NW",0.0743640374558413,0.223,0.0380034864168582
"05117","Mülheim an der Ruhr, Stadt","NW",0.0703598354675323,0.162,0.0328324750716393
"05119","Oberhausen, Stadt","NW",0.0953611418727698,0.184,0.039214015958202
"05120","Remscheid, Stadt","NW",0.084858205146898,0.164,0.0366333746446016
"05122","Solingen, Klingenstadt","NW",0.0715032965963555,0.212,0.0384156874194098
"05124","Wuppertal, Stadt","NW",0.0812268946395564,0.18,0.0517733364140481
"05154","Kleve","NW",0.0562968677853565,0.215,0.0276340937384931
"05158","Mettmann","NW",0.0697746675799538,0.162,0.031222416021128
"05162","Rhein-Kreis Neuss","NW",0.0626362447318704,0.16,0.0271380383818141
"05166","Viersen","NW",0.0591541251392181,0.219,0.0297169946026216
"05170","Wesel","NW",0.072027290092367,0.186,0.0329840503435002
"05314","Bonn, Stadt","NW",0.0417661419402124,0.108,0.0540319147216219
"05315","Köln, Stadt","NW",0.0463814432084566,0.145,0.0579864616897427
"05316","Leverkusen, Stadt","NW",0.0779096611710934,0.152,0.0333931861110463
"05334","Städteregion Aachen","NW",0.0574077054298497,0.156,0.040915381891918
"05358","Düren","NW",0.0857235835855381,0.158,0.0297438901363533
"05362","Rhein-Erft-Kreis","NW",0.0689819289999336,0.184,0.0298514621350197
"05366","Euskirchen","NW",0.0824287943481318,0.169,0.0284736869180513
"05370","Heinsberg","NW",0.0781396180727533,0.195,0.0311554124704199
"05374","Oberbergischer Kreis","NW",0.0949820788530466,0.155,0.0321768885891624
"05378","Rheinisch-Bergischer Kreis","NW",0.0568068138786998,0.152,0.0295139968236564
"05382","Rhein-Sieg-Kreis","NW",0.0662045640173878,0.165,0.0329995011703311
"05512","Bottrop, Stadt","NW",0.093073891776684,0.173,0.0314641887851327
"05513","Gelsenkirchen, Stadt","NW",0.126463491724316,0.187,0.0343046911865523
"05515","Münster, Stadt","NW",0.0285465365098127,0.139,0.0496545680572255
"05554","Borken","NW",0.0503273986687591,0.169,0.0253305554052348
