    AUS        AUT       BEL        CAN     DNK        FIN      FRA       DEU       ITA         JPN       NLD      NOR        SWE     GBR       USA  
   2673.5    1066.8    1542.9       NaN    1179.0       NaN    1036.3     602.0    1276.2       NaN       NaN     900.5       NaN    1949.4    1596.0 
   2400.3    1133.6    1534.4       NaN    1173.6       NaN    1110.6     573.6    1258.2       NaN       NaN     908.6       NaN    2038.9    1654.6 
   2591.1    1132.0    1614.7       NaN    1227.6       NaN    1194.4     610.0    1238.5       NaN       NaN     960.4       NaN    2022.1    1736.6 
   2790.2    1095.7    1612.5       NaN    1209.7       NaN    1116.7     631.3    1279.5       NaN       NaN     973.5       NaN    2051.2    1720.6 
   2798.7    1134.6    1652.4       NaN    1232.4       NaN    1254.1     671.0    1271.8       NaN       NaN     997.1       NaN    2065.1    1671.8 
   3008.8    1130.2    1635.8       NaN    1241.2       NaN    1300.2     666.6    1298.4       NaN       NaN    1016.0       NaN    2095.3    1690.7 
   2923.1    1145.6    1643.6       NaN    1251.9       NaN    1245.0     654.6    1277.1       NaN       NaN    1031.0       NaN    2093.1    1724.6 
   2932.8    1174.4    1649.4       NaN    1204.2       NaN    1266.1     642.8    1267.3       NaN       NaN    1022.3       NaN    2089.9    1796.1 
   3107.0    1203.0    1682.1       NaN    1236.1       NaN    1235.6     665.2    1264.3       NaN       NaN     977.9       NaN    2075.3    1864.6 
   3065.9    1184.5    1683.8       NaN    1262.6       NaN    1194.5     641.9    1270.3       NaN       NaN     977.2       NaN    2043.4    1930.1 
   3124.4    1190.7    1751.9       NaN    1281.5       NaN    1259.4     630.2    1282.9       NaN       NaN     998.6       NaN    2123.3    2028.8 
   3241.4    1228.7    1754.5       NaN    1282.3       NaN    1291.2     641.0    1213.8       NaN       NaN    1004.6       NaN    2181.8    2064.1 
   2951.3    1225.7    1792.4       NaN    1315.1       NaN    1332.7     647.2    1267.2       NaN       NaN    1002.1       NaN    2229.8    2097.8 
   3252.7    1265.1    1797.3       NaN    1348.6       NaN    1302.3     678.5    1251.5       NaN       NaN     998.6       NaN    2229.9    2102.6 
