Year;Gross debt;Minus: Foreign lending;Net debt;IMF;IBRD;Interest payments;Amortization;Debt servicing;Debt servicing (per cent of total current account receipts)
1961;633;;;;;;;;
1962;711;;;;;;;;
1963;849;;;;;;;;
1964;1003;;;;;;;;
1965;1243;;;;;;;;
1966;1418;;;;;;;;
1967;1620;;;;;;;;
1968;1840;;;;;;;;
1970;2350;;;;;;;;
1971;3177;;;;;;;;
1972;3933;;;;;;;;
1973;4663;250;4000;0;250;250;750;1000;19.0
1974;5360;;;;;;;;
1975;6500;750;5750;0;250;250;1000;1250;19.0
1976;7928;;;;;;;;
1977;9500;1000;8500;500;500;250;1250;1500;19.0
1978;11250;1000;10250;500;1000;500;1250;1750;20.0
1979;15000;1250;13750;1250;1250;750;1500;2750;20.0
1980;17165;1432;15733;1209;1359;1245;1888;3133;21.6
1981;18322;1475;16847;1417;1483;2066;1947;4013;23.7
1982;18494;1593;16901;1817;1682;2005;1897;3902;26.7
1983;18814;1738;17076;2191;1722;1662;2719;4381;34.2
1984;18665;1791;16874;2075;1951;1804;3109;4913;36.8
1985;18255;1791;16464;1888;1979;1823;3245;5068;38.6
1986;19026;2064;16962;2086;1917;1870;4184;6054;39.5
1987;20242;2298;17944;1837;1880;1790;3959;5749;33.8
